datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-02,43,99.6,2.08,36.7
2021-09-02,77,140.6,2.27,38.4
2021-09-02,40,77.4,1.88,39.8
2021-09-02,92,139.7,2.13,38.4
2021-09-02,30,272.3,3.84,65.4
2021-09-02,51,91.2,1.99,23.4
2021-09-02,47,115.3,2.11,39.8
2021-09-02,37,74.8,1.88,27.8
2021-09-02,25,107.3,2.24,17.7
2021-09-02,22,113.9,2.76,27.2
2021-09-02,74,161.3,2.76,36.7
2021-09-02,93,196.2,2.39,38.4
2021-09-02,38,136.8,3.0,36.7
2021-09-02,34,249.5,3.1,65.4
2021-09-02,82,155.7,2.6,65.4
2021-09-02,06,261.1,2.53,75.7
2021-09-02,13,507.6,4.03,75.7
2021-09-02,62,76.8,1.78,34.0
2021-09-02,15,47.6,1.15,36.7
2021-09-02,04,228.8,3.18,75.7
2021-09-02,80,53.7,1.62,34.0
2021-09-02,46,120.7,2.18,65.4
2021-09-02,2B,177.8,2.05,72.2
2021-09-02,31,140.8,2.19,65.4
2021-09-02,81,118.3,2.48,65.4
2021-09-02,69,182.2,2.78,36.7
2021-09-02,64,109.6,1.99,39.8
2021-09-02,95,171.2,2.36,38.4
2021-09-02,27,81.4,2.23,26.2
2021-09-02,90,154.8,2.93,17.7
2021-09-02,60,104.6,2.23,34.0
2021-09-02,26,139.1,2.63,36.7
2021-09-02,29,71.6,1.61,27.2
2021-09-02,42,131.8,2.57,36.7
2021-09-02,52,80.4,1.95,23.4
2021-09-02,54,86.4,1.81,23.4
2021-09-02,12,118.2,2.22,65.4
2021-09-02,10,82.9,1.74,23.4
2021-09-02,91,153.0,2.64,38.4
2021-09-02,01,117.7,2.85,36.7
2021-09-02,41,81.4,2.18,27.8
2021-09-02,83,264.3,2.73,75.7
2021-09-02,44,97.0,2.06,20.4
2021-09-02,50,51.4,1.51,26.2
2021-09-02,73,144.3,3.04,36.7
2021-09-02,89,83.7,1.96,17.7
2021-09-02,05,204.6,3.49,75.7
2021-09-02,02,68.8,1.93,34.0
2021-09-02,72,69.4,1.75,20.4
2021-09-02,976,50.1,3.24,0.0
2021-09-02,94,148.4,2.11,38.4
2021-09-02,61,58.1,1.62,26.2
2021-09-02,78,148.0,2.76,38.4
2021-09-02,16,77.6,1.88,39.8
2021-09-02,84,300.9,3.68,75.7
2021-09-02,79,85.6,2.07,39.8
2021-09-02,49,88.4,2.23,20.4
2021-09-02,75,137.3,1.58,38.4
2021-09-02,87,65.0,1.72,39.8
2021-09-02,972,476.7,9.81,619.2
2021-09-02,19,74.1,1.74,39.8
2021-09-02,32,78.9,1.92,65.4
2021-09-02,86,64.7,1.6,39.8
2021-09-02,35,114.8,2.47,27.2
2021-09-02,48,81.3,1.84,65.4
2021-09-02,58,52.1,1.67,17.7
2021-09-02,24,102.4,2.24,39.8
2021-09-02,76,87.6,2.15,26.2
2021-09-02,68,191.4,2.87,23.4
2021-09-02,11,170.4,2.61,65.4
2021-09-02,2A,126.2,1.26,72.2
2021-09-03,973,435.9,13.88,176.9
2021-09-03,54,83.1,1.78,21.3
2021-09-03,76,82.0,2.05,26.7
2021-09-03,95,165.4,2.31,38.1
2021-09-03,03,45.9,1.3,36.9
