url_test,prod_url
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/027/089/089.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/027/089/089.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/027/090/090.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/027/090/090.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/028/014/014.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/028/014/014.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/028/027/027.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/028/027/027.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/028/050/050.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/028/050/050.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/028/061/061.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/028/061/061.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/028/076/076.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/028/076/076.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/032/002/002.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/032/002/002.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/032/059/059.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/032/059/059.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/032/060/060.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/032/060/060.xml
https://www.resultats-elections.interieur.gouv.fr/telechargements/EssaiPR2022/resultatsT1/032/062/062.xml,https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/032/062/062.xml
