datetime,tx_incid
2020-09-01,66.13425211459821
2020-09-02,69.6997742456809
2020-09-03,73.1982472769312
2020-09-04,76.87998784772321
2020-09-05,78.4131772638886
2020-09-06,78.6456141433073
2020-09-07,82.7788186529702
2020-09-08,86.95672256252121
2020-09-09,90.327057314092
2020-09-10,93.7495413655324
2020-09-11,95.53453740106809
2020-09-12,96.1975784994099
2020-09-13,96.34359653904471
2020-09-14,100.028317069829
2020-09-15,102.80861974287599
2020-09-16,105.96290739498698
2020-09-17,108.46458380873001
2020-09-18,111.444543801277
2020-09-19,112.497959658643
2020-09-20,112.851084917759
2020-09-21,114.199516814387
2020-09-22,115.23356293180099
2020-09-23,114.552642073504
2020-09-24,113.047762277268
2020-09-25,111.55033238101299
2020-09-26,110.951360422511
2020-09-27,110.32854878406799
2020-09-28,107.470767151216
2020-09-29,105.33264585656299
2020-09-30,105.83774907530001
2020-10-01,108.69255074816
2020-10-02,114.528802393563
2020-10-03,118.142003884527
2020-10-04,119.027052002313
2020-10-05,130.528207593549
2020-10-06,140.77182006793
2020-10-07,151.791712120369
2020-10-08,163.581923830882
2020-10-09,175.32296620151698
2020-10-10,181.41847436627202
2020-10-11,183.26902952164397
2020-10-12,198.56814412338102
2020-10-13,211.873665490104
2020-10-14,223.903763980017
2020-10-15,238.01834448471598
2020-10-16,252.223813769188
2020-10-17,258.14201431438704
2020-10-18,260.350164668864
2020-10-19,280.569193218296
2020-10-20,304.061707819542
2020-10-21,330.818768592622
2020-10-22,359.281856461436
2020-10-23,391.712761060326
2020-10-24,406.408433763573
2020-10-25,410.321121233787
2020-10-26,445.287971786335
2020-10-27,470.86347842237
2020-10-28,486.01359502447997
2020-10-29,493.535014045669
2020-10-30,498.30146005374803
2020-10-31,499.982157489545
2020-11-01,499.44725467088205
2020-11-02,501.461707625844
2020-11-03,497.857446014859
2020-11-04,487.721112100209
2020-11-05,473.96114683462304
2020-11-06,453.754038125161
2020-11-07,441.332074896229
2020-11-08,437.46855676589104
2020-11-09,404.01850584955
2020-11-10,371.714249550343
2020-11-11,305.04658459707804
2020-11-12,289.537382815867
2020-11-13,265.568074615814
2020-11-14,255.227613441676
2020-11-15,252.742326807891
2020-11-16,226.979082692325
2020-11-17,203.72049495049498
2020-11-18,221.58386512581902
2020-11-19,192.246158999192
2020-11-20,173.37556234638802
2020-11-21,167.791117320354
2020-11-22,166.48142490363
2020-11-23,147.707676950583
2020-11-24,135.679068440667
2020-11-25,128.625503138308
2020-11-26,122.206669314361
2020-11-27,116.546235308518
2020-11-28,114.79401883290001
2020-11-29,114.46026331373501
2020-11-30,111.642711140782
2020-12-01,109.644647965779
2020-12-02,108.019079789844
2020-12-03,107.28898959167
2020-12-04,107.439477571294
2020-12-05,108.19042748941601
2020-12-06,108.40796456887199
2020-12-07,109.701267205637
2020-12-08,110.969240182466
2020-12-09,112.75572619799802
2020-12-10,115.02198577233
2020-12-11,117.28824534666201
2020-12-12,119.171580061952
2020-12-13,119.609634180856
2020-12-14,124.00805512985599
2020-12-15,128.013121359839
2020-12-16,131.955608429979
2020-12-17,135.39448226137802
2020-12-18,140.470844108682
2020-12-19,144.69344741812202
2020-12-20,147.105725032089
2020-12-21,149.482243126145
2020-12-22,153.04627527723102
2020-12-23,155.193336451861
2020-12-24,150.888784242627
2020-12-25,126.766008102958
2020-12-26,125.38330666641599
2020-12-27,123.044038072267
2020-12-28,124.20473248936399
2020-12-29,126.003138344866
2020-12-30,129.529920996046
2020-12-31,133.357679606472
2021-01-01,133.678025305671
2021-01-02,139.113472332077
2021-01-03,140.18774790939
2021-01-04,148.762582787945
2021-01-05,152.576931578405
2021-01-06,152.99561595735798
2021-01-07,157.77100184541501
2021-01-08,184.41780409877103
2021-01-09,180.722653708013
2021-01-10,180.357608608926
2021-01-11,177.76057347542098
2021-01-12,175.11585898203498
2021-01-13,175.646291860709
2021-01-14,177.432777876241
2021-01-15,179.66774787065103
2021-01-16,181.005749907305
2021-01-17,181.405064546306
2021-01-18,185.94503359495098
2021-01-19,189.50012586606002
2021-01-20,191.97647261986697
2021-01-21,194.828294332734
2021-01-22,197.692035885572
2021-01-23,199.17158602187197
2021-01-24,199.043447742192
2021-01-25,200.12964315947602
2021-01-26,199.378693241354
2021-01-27,198.828890622729
2021-01-28,199.603680220791
2021-01-29,199.95680547990798
2021-01-30,200.06855397962897
2021-01-31,200.649646178175
2021-02-01,200.92976241747502
2021-02-02,201.749251415425
2021-02-03,201.138359616953
2021-02-04,198.63966316320202
2021-02-05,196.26761500913503
2021-02-06,195.095000752067
2021-02-07,194.299351434057
2021-02-08,187.813468510279
2021-02-09,183.41653754127498
2021-02-10,179.76012663042
2021-02-11,174.959411082426
2021-02-12,170.592279713349
2021-02-13,168.588256618361
2021-02-14,168.556967038439
2021-02-15,167.490141361107
2021-02-16,167.391802681353
2021-02-17,169.507574276062
2021-02-18,173.990924084849
2021-02-19,179.547059490953
2021-02-20,182.191773984338
2021-02-21,182.848855162695
2021-02-22,189.082931467104
2021-02-23,192.721462618004
2021-02-24,194.753795332921
2021-02-25,195.536034830964
2021-02-26,194.552648033424
2021-02-27,194.680786313103
2021-02-28,194.55562799341598
2021-03-01,191.97647261986697
2021-03-02,190.441793223705
2021-03-03,189.555255125922
2021-03-04,188.76556572789698
2021-03-05,189.22149960675702
2021-03-06,190.832167982729
2021-03-07,191.128674001987
2021-03-08,193.967085894888
2021-03-09,197.67713608560902
2021-03-10,202.67005905312197
2021-03-11,208.81771651774702
2021-03-12,215.57328582085097
2021-03-13,220.533429228446
2021-03-14,222.16942726435397
2021-03-15,236.252718189132
2021-03-16,246.856905822611
2021-03-17,256.74292309788603
2021-03-18,266.552951393351
2021-03-19,276.616276288183
2021-03-20,282.13814215437304
2021-03-21,283.276486871525
